Día,Impr.,Usuarios únicos,Clics,Coste,Resultados
2025-12-09,9147,--,839,405710,3
2023-08-23,9118,--,625,266628,18
2025-12-12,9079,--,757,443123,3
2023-11-06,9057,--,547,338857,21
2025-12-20,8985,--,953,419931,1
2026-03-02,8982,--,530,324156,1
2024-12-06,8959,--,486,444750,16
2023-06-04,8929,--,497,259542,11
2023-06-02,8918,--,618,303353,15
2025-01-13,8857,--,330,155938,12
2025-12-25,8788,--,690,465191,2
2024-08-08,8767,--,464,218398,24
2023-06-05,8765,--,646,299743,20
2025-11-08,8760,--,592,393136,1
2026-02-11,8668,--,412,355091,0
2024-01-15,8643,--,410,214800,21
2024-10-24,8608,--,324,211370,18
2025-12-14,8599,--,788,498797,2
2024-08-06,8588,--,403,231276,12
2024-07-07,8586,--,393,237535,13
2025-08-24,8574,--,480,367131,2
2023-06-08,8554,--,548,290082,17
2025-12-08,8491,--,681,368306,1
2024-11-21,8459,--,378,108666,2
2025-12-17,8448,--,873,408601,3
2023-12-03,8446,--,488,297747,19
2023-07-10,8341,--,646,245748,26
2026-02-23,8324,--,352,578194,0
2023-09-05,8312,--,603,319824,24
2026-03-13,8300,--,615,299796,0
2023-07-28,8279,--,547,206189,8
2023-09-01,8277,--,455,221515,12
2025-11-03,8270,--,747,334218,3
2023-11-30,8268,--,603,265838,12
2025-11-02,8217,--,676,329777,1
2024-09-03,8198,--,429,273895,13
2024-12-07,8143,--,446,430781,16
2023-09-10,8102,--,483,277313,13
2024-05-27,8046,--,498,360628,19
2026-02-21,7987,--,387,510780,1
2026-03-25,7945,--,291,345656,0
2024-08-19,7937,--,543,222370,18
2024-10-12,7934,--,301,186388,10
2024-01-04,7930,--,439,220059,16
2024-06-11,7924,--,470,307436,17
2023-11-23,7904,--,541,313721,27
2023-07-26,7888,--,574,219575,5
2023-09-02,7866,--,484,234090,5
2024-01-06,7852,--,345,209765,22
2023-09-07,7848,--,532,257750,10
2023-09-09,7798,--,467,239067,13
2023-08-06,7795,--,526,269701,16
2024-01-05,7792,--,381,215420,13
2026-05-09,7791,--,192,82420,0
2026-05-11,7785,--,169,73755,1
2025-10-20,7773,--,565,456611,0
2023-06-15,7738,--,570,258737,9
2024-10-02,7719,--,358,265672,5
2023-09-23,7715,--,457,230302,6
2023-06-27,7682,--,670,260671,42
2023-06-03,7661,--,520,283688,19
2026-02-15,7637,--,472,553752,1
2023-07-24,7631,--,654,303061,10
2025-11-17,7626,--,598,407411,2
2023-06-21,7606,--,582,278848,15
2025-12-18,7602,--,876,391264,1
2023-08-07,7593,--,587,259131,19
2026-03-26,7581,--,260,344385,0
2026-02-22,7552,--,435,711987,0
2024-10-17,7550,--,395,220979,25
2023-07-21,7548,--,540,212179,19
2023-07-15,7544,--,515,207836,10
2023-06-19,7493,--,583,325333,8
2024-08-12,7469,--,411,243942,16
2023-07-31,7465,--,578,190050,14
2023-06-01,7458,--,536,223563,6
2023-07-07,7443,--,591,250723,13
2026-03-09,7442,--,423,264885,0
2023-08-09,7441,--,554,240689,38
2025-11-28,7430,--,842,690461,11
2025-12-21,7429,--,786,364675,1
2026-03-17,7415,--,422,318910,0
2026-05-16,7412,--,317,81297,0
2023-11-03,7352,--,503,291425,17
2024-06-15,7350,--,449,250651,8
2023-06-16,7348,--,545,290973,9
2024-09-20,7332,--,270,220707,9
2025-12-22,7330,--,847,437618,2
2024-10-16,7310,--,397,219480,28
2026-05-26,7300,--,125,72159,1
2024-10-15,7299,--,309,237650,8
2025-12-10,7281,--,719,387986,3
2023-06-18,7278,--,386,215324,10
2024-06-17,7247,--,532,292053,18
2025-12-15,7203,--,718,455384,1
2023-06-30,7190,--,548,207306,13
2025-12-05,7189,--,743,447695,1
2025-12-11,7189,--,663,333664,0
2025-11-01,7176,--,538,305630,1
2025-11-09,7165,--,568,410641,1
2023-07-27,7158,--,530,201097,11
2025-12-03,7122,--,705,303989,0
2024-01-11,7112,--,367,190741,13
2026-03-24,7089,--,292,270066,1
2023-12-07,7082,--,413,223595,13
2023-06-17,7072,--,499,243545,9
2024-06-29,7066,--,490,284944,16
2024-07-09,7030,--,463,273182,9
2024-06-13,7023,--,431,270479,12
2026-03-22,7021,--,361,364877,1
2023-09-20,7002,--,459,243231,8
2024-07-08,7001,--,552,360440,2
2023-12-06,6992,--,453,251635,10
2025-08-23,6986,--,442,250563,4
2025-11-07,6981,--,522,247136,1
2023-07-09,6980,--,552,200696,23
2024-05-28,6969,--,444,333822,29
2025-12-19,6969,--,714,373129,3
2024-11-13,6966,--,486,429251,44
2024-07-26,6944,--,392,236897,7
2025-12-04,6930,--,765,394431,1
2024-10-21,6920,--,393,251271,16
2023-09-13,6916,--,504,250754,13
2024-06-22,6912,--,502,255303,14
2024-09-22,6909,--,397,253354,10
2023-06-10,6840,--,549,251226,17
2023-09-18,6833,--,501,292839,21
2023-07-17,6825,--,663,271173,27
2023-06-20,6820,--,550,290338,7
2024-10-28,6819,--,427,205088,10
2024-07-10,6810,--,372,249999,13
2023-08-11,6809,--,454,237449,34
2024-10-25,6792,--,361,194432,20
2024-06-07,6785,--,372,288852,9
2026-02-09,6771,--,308,382284,0
2024-06-27,6770,--,476,264415,18
2024-06-10,6729,--,486,306578,21
2023-07-06,6722,--,618,239917,14
2023-11-17,6707,--,497,301845,10
2025-12-26,6699,--,599,566406,4
2026-02-26,6674,--,413,456138,1
2026-03-23,6655,--,335,353956,0
2023-06-28,6649,--,601,234862,20
2023-12-09,6638,--,487,300980,16
2024-07-24,6635,--,459,274159,36
2024-10-18,6611,--,288,192494,17
2023-09-24,6610,--,406,222457,7
2024-10-26,6598,--,364,195940,16
2023-11-02,6597,--,624,387872,15
2023-09-17,6580,--,427,217707,15
2023-10-08,6580,--,460,282731,17
2025-11-15,6538,--,626,368068,1
2025-11-29,6525,--,778,665211,7
2024-02-16,6505,--,379,260449,25
2023-07-30,6497,--,541,195757,16
2025-08-03,6496,--,466,296698,2
2025-08-02,6483,--,389,231394,0
2023-11-07,6472,--,616,336552,26
2026-01-31,6458,--,309,352846,1
2026-02-28,6444,--,480,413178,0
2023-09-12,6441,--,492,243292,6
2024-07-12,6437,--,412,238267,8
2025-12-07,6406,--,518,297316,2
2026-02-17,6404,--,273,335337,0
2024-07-06,6371,--,464,251523,13
2025-11-26,6356,--,678,659581,7
2025-12-30,6341,--,446,330926,2
2024-08-22,6313,--,396,223634,14
2024-10-10,6280,--,334,212383,11
2023-06-29,6274,--,610,259925,20
2023-09-11,6267,--,517,239781,5
2023-10-07,6261,--,472,276359,27
2024-07-11,6237,--,323,249883,19
2024-12-09,6229,--,265,257402,12
2025-07-30,6226,--,433,238631,3
2024-06-12,6210,--,434,302205,13
2026-03-16,6197,--,346,315850,0
2026-03-06,6196,--,317,231233,0
2023-11-16,6151,--,632,331028,14
2024-06-06,6131,--,444,332063,9
2025-12-06,6124,--,586,329888,0
2024-10-23,6122,--,344,218899,14
2024-09-23,6112,--,349,281496,11
2023-06-24,6107,--,534,265663,16
2023-07-19,6105,--,517,232235,21
2025-11-10,6097,--,483,284702,0
2023-06-06,6095,--,545,248219,12
2026-03-18,6086,--,256,288532,0
2026-02-12,6081,--,372,324985,2
2024-09-13,6072,--,356,225702,7
2024-10-20,6070,--,387,200118,13
2023-11-29,6066,--,628,301870,11
2025-12-27,6065,--,561,486073,1
2023-06-26,6049,--,642,255933,30
2025-08-04,6048,--,387,312375,2
2023-08-26,6042,--,462,233565,12
2023-12-10,6005,--,498,281158,14
2024-06-20,5984,--,442,286279,11
2023-07-05,5980,--,615,245523,13
2025-07-28,5979,--,401,279894,1
2026-05-18,5972,--,158,62118,0
2026-03-20,5968,--,279,274411,1
2024-05-31,5953,--,501,349319,18
2023-07-12,5948,--,669,250991,8
2024-06-26,5948,--,495,290490,31
2024-03-01,5947,--,450,209458,9
