Día,Impr.,Usuarios únicos,Clics,Coste,Resultados
2023-12-25,2878,--,269,194303,19
2026-04-22,2877,--,375,258282,0
2024-09-26,2871,--,309,255691,14
2024-02-27,2865,--,357,212255,12
2024-03-10,2859,--,364,222186,17
2024-02-21,2857,--,323,211670,8
2026-04-07,2850,--,329,232628,0
2024-03-06,2845,--,367,237391,18
2024-02-20,2841,--,328,201345,6
2024-05-16,2841,--,349,378643,24
2024-09-29,2837,--,315,220858,12
2024-04-13,2829,--,401,228707,7
2024-04-24,2829,--,350,197915,15
2023-10-23,2822,--,397,221093,17
2024-04-04,2820,--,387,243935,12
2024-04-09,2811,--,394,234965,17
2023-10-31,2791,--,406,252406,18
2025-07-16,2762,--,335,159340,1
2024-03-11,2746,--,385,242894,8
2024-04-05,2724,--,430,282508,19
2024-04-12,2718,--,350,237929,17
2024-02-11,2695,--,393,230141,30
2024-04-06,2692,--,388,213483,25
2024-04-19,2691,--,372,201010,12
2024-07-19,2689,--,353,223318,18
2026-04-25,2682,--,225,172047,0
2026-04-14,2657,--,234,238253,1
2024-10-03,2655,--,339,206650,9
2024-04-07,2625,--,444,238961,28
2025-09-22,2593,--,292,141110,0
2025-10-04,2588,--,266,143902,0
2025-09-01,2578,--,235,138813,1
2026-08-14,2575,--,59,41084,0
2024-04-20,2574,--,374,225252,18
2025-09-30,2568,--,335,85501,2
2024-03-03,2550,--,416,227538,6
2024-03-12,2544,--,346,195050,20
2024-03-27,2538,--,437,198902,10
2026-05-12,2533,--,158,61960,0
2024-04-10,2525,--,410,237657,35
2025-09-16,2518,--,315,147245,0
2024-04-02,2517,--,389,239260,13
2026-04-13,2517,--,257,240706,0
2025-07-19,2516,--,286,111976,2
2024-04-23,2509,--,284,212231,17
2025-09-29,2494,--,313,110756,0
2025-07-03,2491,--,281,127386,2
2026-04-12,2487,--,259,264650,1
2024-05-17,2486,--,308,287392,17
2024-03-29,2473,--,474,192673,24
2024-03-05,2469,--,399,217427,26
2025-10-13,2469,--,128,114892,2
2024-04-17,2460,--,392,208843,19
2025-07-13,2459,--,276,129583,2
2024-06-04,2444,--,301,208599,11
2024-03-26,2427,--,391,179917,12
2026-04-23,2415,--,212,250664,1
2026-04-26,2412,--,232,272903,1
2025-09-24,2403,--,314,85182,0
2024-02-22,2392,--,385,221339,13
2024-10-05,2386,--,274,219731,7
2024-03-08,2359,--,310,168321,7
2024-03-20,2356,--,348,179081,7
2025-07-17,2355,--,295,163378,2
2024-04-21,2345,--,361,189391,18
2024-03-23,2339,--,338,182690,7
2026-04-24,2337,--,205,229472,0
2024-04-03,2334,--,350,203247,10
2024-03-07,2329,--,339,229986,7
2024-02-04,2324,--,387,260667,25
2025-07-14,2323,--,292,114027,2
2025-10-05,2315,--,213,96804,1
2024-02-23,2313,--,352,208335,7
2024-04-14,2295,--,343,197405,22
2025-10-09,2290,--,308,101043,4
2026-04-11,2262,--,217,252844,1
2024-03-13,2253,--,389,184697,14
2026-02-02,2248,--,180,213225,1
2026-04-27,2246,--,196,230153,0
2025-09-18,2245,--,284,81685,0
2024-03-19,2241,--,336,166045,12
2024-02-18,2240,--,322,177473,19
2025-07-12,2238,--,267,93288,0
2024-02-07,2223,--,393,252842,24
2025-07-04,2220,--,275,147060,0
2026-04-15,2217,--,245,261697,0
2025-09-21,2211,--,246,84792,1
2025-09-28,2209,--,259,89071,2
2024-04-18,2202,--,326,197919,15
2025-10-08,2201,--,311,125007,1
2024-03-22,2178,--,292,174593,5
2025-09-25,2165,--,292,62113,1
2024-03-21,2160,--,338,204539,8
2024-02-26,2159,--,292,187772,11
2026-01-01,2144,--,133,148695,0
2025-10-07,2142,--,297,89872,1
2026-05-06,2132,--,119,100414,0
2024-03-17,2111,--,351,189229,11
2026-04-21,2092,--,197,218592,1
2024-02-24,2091,--,329,197511,14
2026-04-28,2081,--,176,228632,0
2024-02-05,2076,--,381,281866,23
2025-07-18,2065,--,190,146505,1
2024-11-22,2057,--,54,37606,1
2025-09-20,2049,--,214,74953,0
2024-02-06,2035,--,386,260448,39
2025-09-19,2017,--,233,91357,0
2024-03-16,2009,--,325,187016,13
2024-03-28,1997,--,390,178949,20
2026-04-29,1996,--,182,218018,0
2025-07-11,1995,--,214,74262,0
2026-04-19,1993,--,217,239801,0
2026-04-20,1976,--,185,226861,1
2024-03-18,1974,--,342,168634,19
2024-03-14,1969,--,288,183136,10
2026-04-01,1968,--,164,232441,0
2024-03-25,1965,--,347,168353,14
2025-07-09,1957,--,253,94080,2
2024-03-15,1950,--,341,176515,15
2025-10-11,1928,--,93,97661,0
2025-07-08,1912,--,252,96505,3
2025-09-23,1881,--,266,89035,7
2025-10-06,1861,--,303,114970,0
2025-10-16,1827,--,96,86317,0
2025-10-12,1820,--,90,94078,0
2024-02-10,1817,--,340,209963,14
2024-02-25,1814,--,293,201545,2
2026-04-16,1782,--,174,214137,1
2024-03-24,1773,--,286,162527,5
2025-07-10,1771,--,246,87972,3
2025-07-02,1697,--,248,88428,5
2025-06-26,1643,--,237,74520,12
2026-07-05,1625,--,255,91327,0
2026-04-18,1615,--,150,203251,1
2024-10-01,1610,--,264,181316,16
2026-04-17,1565,--,183,236453,0
2025-10-15,1476,--,90,76038,0
2026-05-05,1419,--,103,69034,0
2024-02-08,1416,--,304,182156,15
2025-06-27,1416,--,203,78393,10
2026-07-06,1406,--,205,105026,2
2024-02-09,1387,--,297,194414,19
2025-06-28,1375,--,240,76661,3
2025-06-25,1367,--,173,76314,3
2025-07-06,1352,--,176,96640,1
2026-07-02,1327,--,252,90220,0
2025-07-05,1323,--,221,97888,0
2025-06-30,1283,--,207,63094,9
2026-07-04,1243,--,255,58109,3
2025-10-10,1237,--,123,55882,1
2025-06-29,1215,--,202,74410,6
2024-04-25,1205,--,180,113237,3
2025-10-14,1190,--,69,70037,0
2025-07-07,1153,--,244,94992,2
2026-08-15,1150,--,15,19560,0
2026-07-28,1139,--,44,89666,0
2026-07-11,1105,--,247,42978,1
2025-06-18,1104,--,125,72802,3
2026-07-27,1100,--,37,54392,1
2026-07-13,1080,--,258,36735,0
2025-06-20,1022,--,177,78466,7
2026-07-03,1017,--,237,36372,1
2026-06-25,1005,--,214,65632,2
2025-06-24,1003,--,144,79421,6
2026-07-12,982,--,200,42480,0
2026-07-01,973,--,188,98830,1
2026-06-28,953,--,197,69570,3
2026-07-31,944,--,35,78806,0
2025-06-21,943,--,179,75661,5
2025-06-19,939,--,105,83677,4
2025-10-01,916,--,135,25109,0
2025-06-23,913,--,193,81740,19
2026-06-27,907,--,198,52889,1
2026-06-26,873,--,237,79073,2
2025-10-02,867,--,119,29387,5
2026-07-09,823,--,206,42832,1
2025-10-03,822,--,125,18591,2
2026-07-08,807,--,213,42699,1
2025-07-01,785,--,102,35665,2
2026-06-29,784,--,150,97159,0
2026-08-16,765,--,16,9242,0
2026-08-09,763,--,32,89705,0
2026-07-10,758,--,218,43010,0
2026-07-07,729,--,203,43158,3
2026-08-08,713,--,27,42556,0
2026-07-30,710,--,35,90229,0
2026-06-24,691,--,194,43950,3
2026-08-17,686,--,9,10122,0
2026-08-03,683,--,22,46370,0
2025-01-07,671,--,109,90179,5
2025-06-22,664,--,143,72886,10
2026-06-30,652,--,223,79691,0
2026-08-04,585,--,16,48679,1
2026-07-29,550,--,29,89631,0
2024-05-10,533,--,16,13176,0
2026-07-14,503,--,127,16864,4
2026-08-10,368,--,16,46753,0
2026-07-26,346,--,12,34581,0
2026-08-05,329,--,15,45586,0
2026-08-07,254,--,5,12850,0
2026-07-25,152,--,6,9629,0
2025-01-21,149,--,11,4133,3
2026-08-06,142,--,7,46283,0
2025-01-12,112,--,7,7701,0
2026-07-24,32,--,1,2131,0
2026-07-23,2,--,0,0,0
2025-01-22,0,--,0,0,0
2025-01-23,0,--,0,0,0
2025-01-24,0,--,0,0,0
